bucu,44.464,26.126,143.595,-0.0109,0.0318,0.025,0.118,4284,-0.0112,0.0323,0.0255,0.1164,4272,-0.0103,0.0314,0.025,0.108,4248,-0.0152,0.034,0.0271,0.1186,3828,-0.0118,0.0323,0.0256,0.1186,16632
cags,45.585,-75.807,235.442,0.0103,0.0415,0.0334,0.1435,4356,0.0054,0.0435,0.0348,0.1618,4380,0.0012,0.0465,0.0354,0.1869,4200,0.0059,0.0434,0.0345,0.1777,3888,0.0057,0.0437,0.0345,0.1869,16824
cas1,-66.283,110.52,22.999,0.0074,0.0267,0.0214,0.0925,4356,0.0083,0.0286,0.0231,0.1011,3600,0.0127,0.0263,0.0215,0.0948,4104,0.0107,0.0284,0.0228,0.1118,4128,0.0098,0.0275,0.0222,0.1118,16188
ccj2,27.068,142.195,104.626,-0.0347,0.0686,0.0575,0.1856,4248,-0.0391,0.0707,0.0571,0.1897,4176,-0.0294,0.066,0.054,0.2104,4284,-0.038,0.066,0.0536,0.1965,4344,-0.0353,0.0678,0.0555,0.2104,17052
cebr,40.453,-4.368,776.225,-0.0073,0.031,0.0245,0.1149,4308,-0.0162,0.0379,0.0303,0.1206,4356,-0.0112,0.0339,0.0271,0.1267,4332,-0.0176,0.0352,0.0287,0.1025,4356,-0.0131,0.0346,0.0277,0.1267,17352
cedu,-31.867,133.81,145.133,-0.0047,0.0374,0.028,0.172,4320,-0.0082,0.0415,0.0287,0.2326,4308,-0.005,0.0357,0.0261,0.2073,4116,-0.0094,0.0398,0.0296,0.1956,4092,-0.0068,0.0387,0.0281,0.2326,16836
chan,43.79,125.443,271.958,-0.0131,0.0391,0.0266,0.1944,4104,-0.0162,0.0391,0.0282,0.2002,4200,-0.019,0.0451,0.0325,0.1816,3780,-0.0122,0.0397,0.0276,0.1931,4320,-0.015,0.0407,0.0286,0.2002,16404
chpg,-22.682,-45.002,566.658,-0.0139,0.05,0.0413,0.2005,4320,-0.0038,0.0491,0.0406,0.1701,4368,0.0013,0.0482,0.0393,0.1548,4332,-0.0048,0.0485,0.0394,0.173,4368,-0.0053,0.049,0.0401,0.2005,17388
chti,-43.735,-176.617,76.101,-0.0163,0.0422,0.033,0.1636,4320,-0.0152,0.0407,0.0315,0.1525,4332,-0.0182,0.0431,0.0325,0.1605,4284,-0.022,0.0487,0.0364,0.2103,4368,-0.0179,0.0438,0.0334,0.2103,17304
chum,42.999,74.751,716.758,0.0267,0.0408,0.0333,0.1346,4284,0.0276,0.0416,0.0342,0.1403,4296,0.0308,0.0432,0.0357,0.1305,4332,0.0222,0.039,0.0308,0.1324,4368,0.0268,0.0412,0.0335,0.1403,17280
chur,58.759,-94.089,-19.1,0.0134,0.0295,0.0235,0.1147,4320,0.0132,0.0333,0.0266,0.142,4368,0.0102,0.031,0.0245,0.1292,4332,0.0115,0.0297,0.0244,0.1001,4152,0.0121,0.0309,0.0248,0.142,17172
chwk,49.157,-122.008,174.444,-0.0018,0.0347,0.0283,0.1249,4344,-0.0057,0.0334,0.0264,0.1187,4344,-0.005,0.0374,0.029,0.1576,4188,-0.0061,0.037,0.0299,0.1219,4368,-0.0046,0.0356,0.0284,0.1576,17244
cit1,34.137,-118.127,215.77,-0.0032,0.0383,0.03,0.1384,4296,0.0022,0.0353,0.0283,0.1297,4380,-0.0059,0.0394,0.0305,0.1828,4332,-0.0095,0.0445,0.0338,0.212,4332,-0.0041,0.0395,0.0306,0.212,17340
cksv,22.999,120.22,59.978,-0.025,0.0542,0.0451,0.177,4128,-0.0211,0.052,0.041,0.2199,4092,-0.0163,0.0523,0.0424,0.1818,3588,-0.0239,0.0564,0.0462,0.1734,4164,-0.0218,0.0538,0.0437,0.2199,15972
cord,-31.528,-64.47,747.481,-0.0133,0.0446,0.0344,0.1812,4320,-0.0079,0.0436,0.0333,0.1924,4380,-0.0077,0.0412,0.0329,0.1524,4332,0.0019,0.039,0.0309,0.1574,4356,-0.0067,0.0422,0.0329,0.1924,17388
cpvg,16.732,-22.935,94.494,-0.0071,0.046,0.037,0.1557,4236,-0.0152,0.0494,0.0387,0.1627,4356,-0.0171,0.0496,0.0392,0.1943,4272,-0.017,0.0536,0.0427,0.1803,4080,-0.0141,0.0497,0.0394,0.1943,16944
crfp,34.039,-117.1,689.238,-0.0094,0.039,0.0301,0.1568,4140,-0.0058,0.0327,0.0254,0.124,4380,-0.0151,0.0391,0.0291,0.1769,4332,-0.0206,0.046,0.0342,0.1774,4368,-0.0128,0.0395,0.0297,0.1774,17220
cro1,17.757,-64.584,-31.092,-0.0061,0.0395,0.0313,0.154,4332,-0.011,0.0434,0.0346,0.1519,4380,-0.0025,0.0384,0.0309,0.141,4320,-0.0078,0.0406,0.0322,0.1349,4368,-0.0069,0.0405,0.0323,0.154,17400
cusv,13.736,100.534,76.463,-0.0001,0.0441,0.034,0.1943,4092,-0.0052,0.0436,0.0332,0.232,3984,-0.0113,0.044,0.0344,0.2085,4320,-0.0156,0.0543,0.0405,0.2447,4200,-0.0082,0.0468,0.0356,0.2447,16596
dae2,36.399,127.374,117.244,-0.0171,0.053,0.0382,0.1905,4260,-0.0209,0.0545,0.0385,0.1981,4260,-0.0222,0.0542,0.0377,0.2194,4236,-0.0201,0.0576,0.04,0.2233,4188,-0.0201,0.0548,0.0386,0.2233,16944
daej,36.399,127.374,117.458,-0.0169,0.0527,0.0378,0.1906,4284,-0.0199,0.0542,0.0383,0.2034,4380,-0.0228,0.0543,0.038,0.2234,4308,-0.0193,0.0574,0.04,0.2393,4320,-0.0197,0.0547,0.0385,0.2393,17292
darw,-12.844,131.133,125.502,-0.0223,0.0561,0.0429,0.2062,4296,-0.0394,0.0664,0.054,0.2029,4368,-0.0471,0.069,0.0588,0.1973,3852,-0.047,0.0767,0.0631,0.2375,3888,-0.0385,0.0672,0.0544,0.2375,16404
dav1,-68.577,77.973,44.953,-0.0074,0.0239,0.0189,0.0883,4332,-0.0029,0.0227,0.0182,0.0735,4368,0.0031,0.0205,0.0163,0.0694,4260,0.0021,0.0241,0.0187,0.1035,4032,-0.0014,0.0228,0.018,0.1035,16992
dgar,-7.27,72.37,-64.345,-0.0081,0.0575,0.0477,0.1664,4332,-0.0268,0.0535,0.0448,0.1589,4260,-0.0203,0.0522,0.0437,0.1899,4332,-0.01,0.0554,0.0459,0.1875,4344,-0.0163,0.0547,0.0455,0.1899,17268
dhlg,33.39,-115.788,-82.63,-0.017,0.0507,0.0388,0.1959,4032,-0.0077,0.0417,0.031,0.1893,4332,-0.023,0.0534,0.0374,0.2226,4296,-0.0322,0.0642,0.0448,0.2506,4260,-0.02,0.0531,0.038,0.2506,16920
djig,11.526,42.847,711.812,-0.0114,0.0474,0.0369,0.1964,3888,-0.0138,0.0519,0.0404,0.1907,3972,0.0055,0.046,0.0365,0.1605,4152,0.0003,0.0413,0.0329,0.131,4164,-0.0046,0.0467,0.0366,0.1964,16176
dlf1,51.986,4.387,76.283,-0.0129,0.0387,0.0303,0.1341,4248,-0.017,0.0421,0.0331,0.1401,4344,-0.0164,0.0378,0.0294,0.1494,4332,-0.0168,0.039,0.0305,0.1235,4368,-0.0158,0.0394,0.0308,0.1494,17292
drao,49.323,-119.625,542.291,0.0041,0.0272,0.022,0.0917,4344,0.0054,0.0267,0.0216,0.0952,4380,0.0074,0.0297,0.0238,0.1558,4128,0.0032,0.0311,0.025,0.1031,4344,0.005,0.0287,0.0231,0.1558,17196
